Día;Fecha;Inicio solicitud;Fin solicitud;Cuadrillas;N°;Identificador;Caso;Tipo;Tipo de faena;Sector afectado;Dirección de referencia;Objeto de referencia;Jerarquía de red;Tipo de contexto;ID del contexto;Descripción del trabajo;Resultado;Área solicitante;Solicitante;Área de cobertura;Clientes afectados;Inicio planificado;Fin planificado;Duración planificada;Duración de tareas programadas;Tiempo excedido;Inicio corte real;Fin corte real;Duración corte real;Observaciones;Estado;Circuito de aprobación;Comentarios de cierre
DOMINGO;2023-02-05;08:00:00;14:00:00;;325;PI-2023-00437;979721;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Correctivo;;465 entre RP1 y 23 (City Bell);099-TR1;;Plan de Mantenimiento;Semana 5;Cambio de ventilacion auxiliar a tablero de comando TR1 SE C.Bell;Cancelada;Transmisión;nestor vicente;City Bell;0;;;;04:00:00;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
DOMINGO;2023-02-05;08:00:00;15:00:00;;326;PI-2023-00423;;Permiso de trabajo en MT;Obra nueva instalacion;;4 y 44;09324 [093 ROCHA];[093 ROCHA];Plan de Mantenimiento;Sem. 5;Seccion 3 - Adecuacion de Celda Alimentador 9324. SE Rocha (093);Normal;Transmisión;Daniel Perez;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
DOMINGO;2023-02-05;08:00:00;15:00:00;;327;PI-2023-00422;;Permiso de trabajo en AT;Mantenimiento Preventivo;;4 y 44;09324 [093 ROCHA];[093 ROCHA];Plan de Mantenimiento;Sem. 5;Seccion 3 - Adecuacion de Celda Alimentador 9324. SE Rocha (093);Normal;Transmisión;Daniel Perez;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
DOMINGO;2023-02-05;08:00:00;17:00:00;;328;PI-2023-00411;979722;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-A-IN-57;;Plan de Mantenimiento;Sem. 5;SELP, L57, Mant a Secc Terminal y PAT + Secc B2 + Interruptor (OT 1023780 Reemplazo de buloneria) +  TI (cambio de membrana) + TV (cambio de membrana) + Descargadores.;Cancelada;Transmisión;Daniel Perez;San Carlos;0;;;;04:00:00;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
DOMINGO;2023-02-05;09:00:00;15:00:00;;329;PI-2023-00315;979302;Puesta en servicio de instalación MT;Obra estructural;no afecta clientes;24 entre 466 y 465 (City Bell);24y466;;Ingeniería y Obras;117043;Se vinculan 2 alimentadores de reserva cuyo origen es el centro de rebaje city bell con destino a: S276-L (calle 462 y Cno. Belgrano) S279-L (calle 24 entre 465 y 466);Normal;Planificación;José Garcia;City Bell;0;09:51:28;12:53:57;4 days 03:02:29;04:20:00;3 days 23:33:57.486;;;;v;cerrada (hecha);Fuera de plazo;
DOMINGO;2023-02-05;09:00:00;17:00:00;;330;PI-2023-00521;;Permiso de trabajo en MT;Mantenimiento Preventivo;90 entre 137 y 155;90 y 143;09404 - A S.E. Sur (90y138);09404 [094 SUR];Plan de Mantenimiento;222222;cambio de 6 postes de madera por columna sosten doble terna;Normal;Redes Aéreas;gabriel martins;;;;;;;;;;;;abierta, en definición (nueva);Circuito de aprobación normal;
LUNES;2023-02-06;07:00:00;14:15:00;OP-Guardia AT Dique;331;PI-2023-00443;979880;Permiso de trabajo en AT;Mantenimiento Correctivo;-;Cno. Vergara y 130;096-B-IN-591;;Plan de Mantenimiento;semana 06;Tendido cables de TV;Cancelada;Transmisión;Maximiliano Yordaz;Ensenada;0;;;;04:30:00;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
LUNES;2023-02-06;08:00:00;15:00:00;;332;PI-2023-00454;979883;Permiso de trabajo en AT;Mantenimiento Preventivo;;Cno. Belgrano y 528;098-B-IN-591;;Plan de Mantenimiento;Sem. 6;C591 Revision de terminales de cable en SE Tolosa (098);Cancelada;Transmisión;Daniel Perez;Tolosa;0;;;;04:00:00;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
LUNES;2023-02-06;08:00:00;17:00:00;Guardia Magdalena;333;PI-2023-00455;979882;Permiso de trabajo en AT;Mantenimiento Preventivo;;pipinas (Verónica);197T2;19502 [195 VERONICA];Plan de Mantenimiento;Semana 6;SE Pipinas TR N°2: Mant. al TR y Secc 33 kV + Completar nivel de aceite + Pérdida de aceite en bushing ;Cancelada;Transmisión;victor faes;Verónica;0;;;;04:00:00;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
LUNES;2023-02-06;08:00:00;17:00:00;;334;PI-2023-00456;;Permiso de trabajo en MT;Mantenimiento Preventivo;;pipinas (Verónica);197T2;19502 [195 VERONICA];Plan de Mantenimiento;Semana 6;SE Pipinas TR N°2: Mant. al TR y Secc 33 kV + Completar nivel de aceite + Pérdida de aceite en bushing ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición, suspendida (Suspendido por Condiciones Climáticas Adversas);Fuera de plazo;
LUNES;2023-02-06;08:00:00;15:00:00;;335;PI-2023-00473;979964;Permiso de trabajo en MT;Mantenimiento Preventivo;Traza de alimentador.-;528 E 146 y 147;19016 [190 LA PLATA];[190 LA PLATA];Plan de Mantenimiento;AVISO I0002173;Poda preventiva programada sobre traza de alimentador 19016;Normal;Redes Aéreas;lucrecia heit;San Carlos;0;;;;00:05:00;;;;;poda;cerrada (hecha);Fuera de plazo;
LUNES;2023-02-06;09:00:00;17:00:00;OP-BT-Maniobras-E1;336;PI-2023-00453;979734;Permiso de trabajo en MT;Mantenimiento Correctivo;610 HASTA 622 Y DESDE 165 HASTA 170;167 y 612 (Los Hornos);167 y 612;09401 [094 SUR];Plan de Mantenimiento;I0021515;CAMBIO DE 5 POSTES DE M.T. CON TUTOR;Normal;Redes Aéreas;gabriel martins;Los Hornos;423;09:48:24;10:19:34;00:31:09;00:02:00;8 days 01:17:34.262;09:47:37;20:26:37;10:39:00;se cambiaron postes;cerrada (hecha);Fuera de plazo;
LUNES;2023-02-06;09:00:00;15:00:00;;337;PI-2023-00295;;Trabajo en proximidad de instalaciones energizadas;Obra nueva instalacion;No afecta servicio;62 E/ 4 Y 5;172011;09316 [093 ROCHA];Plan de Mantenimiento;Telecontrol;Cableado de comando de celdas nuevas por ampliación;Normal;Redes Subterráneas - Laboratorio;Luciano Biagiola;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MARTES;2023-02-07;07:00:00;14:15:00;OP-Guardia AT Dique;338;PI-2023-00444;980343;Permiso de trabajo en AT;Mantenimiento Correctivo;-;Cno. Vergara y 130;096-B-IN-594;;Plan de Mantenimiento;semana 06;Corrección tensiones en protección;Cancelada;Transmisión;Maximiliano Yordaz;Ensenada;0;;;;08:00:00;;;;;;cerrada, cancelada (Condiciones Climáticas Adversas);Fuera de plazo;
MARTES;2023-02-07;07:00:00;14:15:00;OP-Guardia AT Magdalena;339;PI-2023-00445;980349;Permiso de trabajo en AT;Mantenimiento Preventivo;-;Rta. 36 y Acc. Ver?n;19513 [195 VERONICA];[195 VERONICA];Plan de Mantenimiento;Semana 06;Ensayos interruptor 132. KV;Cancelada;Transmisión;Maximiliano Yordaz;Verónica;0;;;;08:00:00;;;;;;cerrada, cancelada (Falta de Recursos);Fuera de plazo;
MARTES;2023-02-07;08:00:00;14:00:00;;340;PI-2023-00457;;Permiso de trabajo en AT;Mantenimiento Preventivo;;Rta. 36 y Acc. Ver?n;19513 [195 VERONICA];[195 VERONICA];Plan de Mantenimiento;Semana 6;SE Verónica L. 19513: No levanta cortina + Mant. Interruptor;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
MARTES;2023-02-07;08:00:00;15:00:00;OP-Guardia AT La Plata;341;PI-2023-00459;980346;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-583;;Plan de Mantenimiento;Semana 6;L. 583: Poda ;Normal;Transmisión;victor faes;San Carlos;0;;;;08:00:00;;;;;POda;cerrada (hecha);Fuera de plazo;
MARTES;2023-02-07;10:00:00;18:00:00;;342;PI-2023-00483;;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Correctivo;;Ruta 11 y 601;199-B-SE-572-1;;Plan de Mantenimiento;Semana 6;Alistamiento TR1 SE Este;Normal;Transmisión;nestor vicente;;;;;;;;;;;;abierta, en definición, suspendida (Suspendido por Encargado de Trabajo);Fuera de plazo;
MARTES;2023-02-07;10:30:00;17:00:00;;343;PI-2023-00486;980527;Corte solicitado por usuario;Trabajo solicitado por usuario;;520 Y R.2;A CLIENTE AHINSA;09212 [092 KAISER];Solicitud Usuario;ver nota adjunta;Ver nota adjunta;Excedida;Comercial;Fernando Cabrera;Abasto;1;11:50:44;11:21:55;23:31:11;08:15:00;16:36:55.424;11:56:25;11:17:47;23:21:22;Corte a pedido del clienta;cerrada (hecha);Fuera de plazo;
MARTES;2023-02-07;14:00:00;17:00:00;;344;PI-2023-00458;;Permiso de trabajo en AT;Mantenimiento Correctivo;;Rta. 36 y Acc. Ver?n;195-D-SE-AC12-2;[195 VERONICA];Plan de Mantenimiento;Semana 6;SE Verónica Acoplador 33 kV: Revisión Seccionador trabado ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
MARTES;2023-02-07;15:00:00;18:00:00;;345;PI-2023-00488;;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Correctivo;;528 y 146 (San Carlos);190-TR3;;Plan de Mantenimiento;Sem. 6;TR n°3 - SELP, Revision de Ventiladores y cambio de tacos;Normal;Transmisión;Daniel Perez;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
MIéRCOLES;2023-02-08;00:00:00;05:00:00;;346;PI-2023-00460;;Permiso de trabajo en AT;Mantenimiento Correctivo;;528 E 146 y 147;190-B-IN-594;;Plan de Mantenimiento;Semana 6;C. 594: Desconexión en SE Paz lado Gambier;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición, suspendida (Suspendido por Razones Operativas);Fuera de plazo;
MIéRCOLES;2023-02-08;07:00:00;14:15:00;;347;PI-2023-00446;;Permiso de trabajo en AT;Mantenimiento Preventivo;-;528 5001 (San Carlos);190-SIA;19013 [190 LA PLATA];Plan de Mantenimiento;Semana 06;Ensayos para puesta en servicio;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-02-08;08:00:00;14:00:00;;348;PI-2023-00467;;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 e/ 9 y 10 (Tolosa);098-SIA;[098 TOLOSA];Plan de Mantenimiento;Semana 6;SE Tolosa 13.2 kV: Mant. Int. N° 133808, 133438, 133428. Todos en pasillo. ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-02-08;08:00:00;16:00:00;;349;PI-2023-00466;;Permiso de trabajo en AT;Mantenimiento Correctivo;;528 E 146 y 147 (San Carlos);190-SIA;19013 [190 LA PLATA];Plan de Mantenimiento;Sem. 6;SE La Plata SI A: Cambio de trafo ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-02-08;08:00:00;00:00:00;;350;PI-2023-00461;982093;Permiso de trabajo en AT;Mantenimiento Correctivo;;25 y 54;190-B-IN-594;;Plan de Mantenimiento;Semana 6;C. 594: Revisión en 25 y 54, pérdia de aceite. ;Normal;Transmisión;victor faes;San Carlos;0;;;;;;;;;;abierta, en definición, suspendida (Error de operador);Fuera de plazo;
MIéRCOLES;2023-02-08;09:00:00;17:00:00;;351;PI-2023-00463;;Permiso de trabajo en MT;Mantenimiento Preventivo;131 DE 66 HASTA 60;055-10 entre 055-09 y Avenida 66 (Los Hornos);131y66 172090 y 172047;09507 [095 PAZ];Plan de Mantenimiento;1038561/2/4/5/6/7/8/9;CAMBIO DE 6 POSTES DE MADERA POR COLUMNAS DE H.A.;Cancelada;Redes Aéreas;gabriel martins;;;;;;;;;;;;cerrada, cancelada (Error de Operador);Circuito de aprobación normal;
MIéRCOLES;2023-02-08;09:00:00;17:00:00;;352;PI-2023-00468;;Permiso de trabajo en MT;Mantenimiento Preventivo;131 DEDE 60 HASTA 66;055-10 entre 055-09 y Avenida 66 (Los Hornos);131y66 172090 y 172047;09507 [095 PAZ];Plan de Mantenimiento;1035261/2/4/5/6/7/8/9;CAMBIO DE 6 POSTES DE MADERA POR COLUMNAS;Normal;Redes Aéreas;gabriel martins;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
MIéRCOLES;2023-02-08;16:00:00;20:00:00;;353;PI-2023-00507;;Permiso de trabajo en MT;Mantenimiento Correctivo;;RP1 entre 462 y 464 (City Bell);Cno. Belgrano y 462 ;;Ingeniería y Obras;I0022046;PRUEBA DE COINCIDENCIA DE FASE SOBRE NUEVO ALIMENTADOR;Normal;Redes Subterráneas;luis talesco;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
MIéRCOLES;2023-02-08;16:30:00;20:30:00;;354;PI-2023-00509;;Permiso de trabajo en MT;Mantenimiento Correctivo;;24 entre 466 y 465 (City Bell);24/465y466 ;;Plan de Mantenimiento;I0022059;PRUEBA DE COINCIDENCIA DE FASES SOBRE NUEVO ALIMENTADOR;Normal;Redes Subterráneas;luis talesco;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
MIéRCOLES;2023-02-08;16:30:00;20:30:00;;355;PI-2023-00508;;Permiso de trabajo en MT;Mantenimiento Correctivo;;24 entre 466 y 465 (City Bell);24/465y466 ;;Plan de Mantenimiento;I0022059;PRUEBA DE COINCIDENCIA DE FASES SOBRE NUEVO ALIMENTADOR;Normal;Redes Subterráneas;luis talesco;;;;;;;;;;;;abierta, en definición (nueva);Fuera de plazo;
JUEVES;2023-02-09;07:00:00;14:00:00;;356;PI-2023-00447;;Permiso de trabajo en AT;Mantenimiento Preventivo;-;528 E 146 y 147;190-B-IN-571;;Plan de Mantenimiento;Seaman 06;Cambio de proteccion principal;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
JUEVES;2023-02-09;07:30:00;14:30:00;;357;PI-2023-00510;;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-E-RF-SIA;19013 [190 LA PLATA];Plan de Mantenimiento;Sem 06;Ensayo de Bco. de Baterias 220Vcc N°2;Cancelada;Transmisión;fernando nellen;;;;;;;;;;;;cerrada, cancelada (Error de Operador);Fuera de plazo;
JUEVES;2023-02-09;07:30:00;17:00:00;;358;PI-2023-00415;979966;Permiso de trabajo en MT;Mantenimiento Preventivo;Zona Rural de Bavio - Ruta  54 Entre bavio Y Ruta  36;SAN JUAN BAVIO II - Zona Rural de Bavio - Ruta  54 Entre bavio Y Ruta  36;220364;29301 [293 BAVIO];Plan de Mantenimiento;I0021617 - I0021618;Cambio de Poste de Mad x HA  CT 220364 y Cambio de Poste de Mad x HA  Arranque a CT 220373;Cancelada;Magdalena;pablo baccarini;Magdalena;0;;;;10:40:00;;;;;;cerrada, cancelada (Error de Operador);Circuito de aprobación normal;Ola de Calor
JUEVES;2023-02-09;07:45:00;18:00:00;;359;PI-2023-00421;980458;Permiso de trabajo en MT;Mantenimiento Preventivo;Pueblo de Payro y Zonas Rurales ALEDAÑAS;Pueblo de Payro y Zonas Rurales Aledañas -Al 19501 (Magdalena);TMT30043417;[221114] / 19501 [195 VERONICA];Plan de Mantenimiento;I 0021334;Cambio de 2 postes de MT 11 m;Cancelada;Magdalena;pablo baccarini;Magdalena;0;;;;11:20:00;;;;;;cerrada, cancelada (Error de Operador);Circuito de aprobación normal;Ola de Calor
JUEVES;2023-02-09;08:00:00;15:00:00;;360;PI-2023-00464;;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-571;;Plan de Mantenimiento;Semana 6;L. 571: Poda ;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición, suspendida (Error de operador);Circuito de aprobación normal;
JUEVES;2023-02-09;08:00:00;15:00:00;;361;PI-2023-00503;;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-571;;Plan de Mantenimiento;Semana 6- 2023;L. 571: Poda ;Normal;Transmisión;Jose Molteni;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
JUEVES;2023-02-09;08:00:00;16:00:00;;362;PI-2023-00492;;Permiso de trabajo en AT;Mantenimiento Preventivo;;Destileria La Plata;B2aB;;Plan de Mantenimiento;Semana 6;SE YPF Barra B 132 kV Campos 2, 4 y 6: Mant. Secc B2aB, B4aB, B6aB.;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
JUEVES;2023-02-09;08:00:00;16:00:00;;363;PI-2023-00475;;Permiso de trabajo en AT;Mantenimiento Preventivo;;Destileria La Plata;B2aB;;Plan de Mantenimiento;Semana 6;SE YPF Barra B 132 kV Campos 2, 4 y 6: Mant. Secc B2aB, B4aB, B6aB.;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
JUEVES;2023-02-09;08:00:00;18:00:00;;364;PI-2023-00387;;Permiso de trabajo en MT;Mantenimiento Preventivo;7 a 15 y de 90 a 601;13 y 93;172349;09408 [094 SUR];Plan de Mantenimiento;I00021465;Cambio de postes de madera por H°A° en CTS 171460/172349/172373;Normal;Redes Aéreas;gabriel belardinelli;;;;;;;;;;;;abierta, en definición (nueva);Circuito de aprobación normal;
JUEVES;2023-02-09;08:00:00;18:00:00;;365;PI-2023-00402;;Permiso de trabajo en MT;Mantenimiento Preventivo;7 a 15 y de 90 a 601;13 y 93;172349;09408 [094 SUR];Plan de Mantenimiento;I00021465;Cambio de postes de madera por H°A° en CTS 171460/172349/172373;Normal;Redes Aéreas;gabriel belardinelli;;;;;;;;;;;;abierta, en definición (nueva);Circuito de aprobación normal;
JUEVES;2023-02-09;08:00:00;15:00:00;;366;PI-2023-00496;981605;Permiso de trabajo en MT;Mantenimiento Preventivo;Traza de alimentador.-;455 y RP1;TMT30032591;09903 [099 CITY BELL];Plan de Mantenimiento;AVISO I0021888;Poda correctiva programada requerimiento OCEBA 455 entre Belgrano y 24.;Normal;Redes Aéreas;lucrecia heit;City Bell;0;;;;00:05:00;;;;;´poda;cerrada (hecha);Fuera de plazo;
JUEVES;2023-02-09;08:00:00;15:00:00;;367;PI-2023-00493;981606;Permiso de trabajo en MT;Mantenimiento Preventivo;Traza de alimentador.-;467 y RP1;TMT30009499;09915 [099 CITY BELL];Plan de Mantenimiento;AVISO I0021889;Poda correctiva programada requerimiento OCEBA 467 entre Belgrano y 23.;Normal;Redes Aéreas;lucrecia heit;City Bell;0;;;;00:05:00;;;;;poda;cerrada (hecha);Fuera de plazo;
JUEVES;2023-02-09;08:20:00;11:00:00;pare L;368;PI-2023-00323;981533;Permiso de trabajo en BT;Mantenimiento Preventivo;en calle 57 de 1 a 2 lado impar;57 entre 2 y Avenida 1 (La Plata);3637544,...;170682T1S2 [170682] / 09311 [093 ROCHA];Ingeniería y Obras;OT-117042;Retiro de conexión de pilar de obra en desuso en calle 57 N° 335 e/ 1 y 2.;Normal;Planificación;luciano canepa;La Plata;8;09:23:04;11:36:14;02:13:09;04:20:00;00:00:00;09:23:04;11:36:14;02:13:09;X;cerrada (hecha);Fuera de plazo;
JUEVES;2023-02-09;09:00:00;17:00:00;;369;PI-2023-00472;;Permiso de trabajo en MT;Mantenimiento Correctivo;600 HASTA 603 Y DESDE 120 HASTA 124;601 entre 124 y 125 (Villa Elvira);19914 A SE (124y601);19914 [199 ESTE];Plan de Mantenimiento;222222;CAMBIO DE 2 POSTES DE MADERA POR COLUMNA;Normal;Redes Aéreas;gabriel martins;;;;;;;;;;;;abierta, en definición (nueva);Circuito de aprobación normal;
JUEVES;2023-02-09;14:00:00;17:00:00;;370;PI-2023-00500;;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-A-SE-AC23-3;;Plan de Mantenimiento;Semana 6;SE La Plata Acoplador 220 kV: Mant. Secc B3.;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
JUEVES;2023-02-09;14:00:00;17:00:00;;371;PI-2023-00499;;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-A-IN-AC23;;Plan de Mantenimiento;Semana 6;SE La Plata Acoplador 220 kV: Mant. Int + Secc B2.;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
JUEVES;2023-02-09;14:00:00;17:00:00;;372;PI-2023-00477;;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-A-SE-AC23-3;;Plan de Mantenimiento;Semana 6;SE La Plata Acoplador 220 kV: Mant. Secc B3.;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
JUEVES;2023-02-09;14:00:00;17:00:00;;373;PI-2023-00476;;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-A-IN-AC23;;Plan de Mantenimiento;Semana 6;SE La Plata Acoplador 220 kV: Mant. Int + Secc B2.;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
JUEVES;2023-02-09;15:15:28;21:00:00;;374;PI-2023-00526;;Trabajo en proximidad de instalaciones energizadas;Obra nueva instalacion;;N°105;95137390;09401 [094 SUR];Ingeniería y Obras;OT de obras;Se vincula despues de seccionadores del 9414 a la linea aerea que alimenta CT172782 y se puenteara fusible de 96 y 141 que alimenta este CT;Normal;Redes Aéreas;Claudio Ezama;;;;;;;;;;;;abierta, en definición (nueva);Fuera de plazo;
VIERNES;2023-02-10;00:00:00;05:00:00;;375;PI-2023-00462;;Permiso de trabajo en AT;Mantenimiento Correctivo;;528 E 146 y 147;190-B-IN-594;;Plan de Mantenimiento;Semana 6;C. 594: Conexión en SE Paz lado Gambier;Normal;Transmisión;victor faes;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
VIERNES;2023-02-10;07:00:00;14:00:00;;376;PI-2023-00448;;Permiso de trabajo en AT;Mantenimiento Preventivo;-;528 E 146 y 147;190-B-IN-571;;Plan de Mantenimiento;Seaman 06;Cambio de proteccion principal;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
VIERNES;2023-02-10;07:00:00;14:15:00;;377;PI-2023-00450;;Permiso de trabajo en AT;Mantenimiento Correctivo;-;139 Y 90;094 SUR;;Plan de Mantenimiento;Semana 06;Cambio de multimedidor;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
VIERNES;2023-02-10;07:00:00;14:15:00;;378;PI-2023-00449;;Permiso de trabajo en AT;Mantenimiento Correctivo;-;139 Y 90;094 SUR;;Plan de Mantenimiento;Semana 06;Cambio de multimedidor;Normal;Transmisión;Maximiliano Yordaz;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
VIERNES;2023-02-10;08:00:00;14:00:00;OP-Guardia AT Dique;379;PI-2023-00479;982092;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;Cno. Vergara y 130;096-B-IN-TR3;;Plan de Mantenimiento;Semana 6;Reparaciones en API TR N°3, TR N°4, C. 592, C. 595, C. 597;Cancelada;Transmisión;victor faes;Ensenada;0;;;;04:00:00;;;;;;cerrada, cancelada (Condiciones Climáticas Adversas);Circuito de aprobación normal;
VIERNES;2023-02-10;08:00:00;15:00:00;;380;PI-2023-00502;;Permiso de trabajo en AT;Mantenimiento Preventivo;;528 E 146 y 147;190-B-IN-571;;Plan de Mantenimiento;Semana 6- 2023;L. 571: Poda ;Normal;Transmisión;Jose Molteni;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
VIERNES;2023-02-10;08:00:00;16:00:00;;381;PI-2023-00481;982091;Permiso de trabajo en AT;Mantenimiento Correctivo;;528 E 146 y 147 (San Carlos);190-SIA;19013 [190 LA PLATA];Plan de Mantenimiento;Sem. 6;SE La Plata SI A: Cambio de trafo ;Normal;Transmisión;nestor vicente;San Carlos;0;;;;;;;;;;abierta, en definición, suspendida (Error de operador);Fuera de plazo;
VIERNES;2023-02-10;08:00:00;16:00:00;;382;PI-2023-00512;;Permiso de trabajo en AT;Mantenimiento Correctivo;;528 E 146 y 147;190-B-IN-571;;Plan de Mantenimiento;Sem. 6;SELP - L.571, Secc. B2 (OT: 1043101 no abre electricamente);Normal;Transmisión;Daniel Perez;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
VIERNES;2023-02-10;08:00:00;16:00:00;OP-Guardia AT La Plata;383;PI-2023-00482;980459;Permiso de trabajo en MT;Mantenimiento Correctivo;;528 E 146 y 147 (San Carlos);190-SIA;19013 [190 LA PLATA];Plan de Mantenimiento;Sem. 6;SE La Plata SI A: Cambio de trafo ;Cancelada;Transmisión;nestor vicente;San Carlos;0;;;;04:00:00;;;;;;cerrada, cancelada (Condiciones Climáticas Adversas);Fuera de plazo;
VIERNES;2023-02-10;09:00:00;14:00:00;;384;PI-2023-00403;;Corte solicitado por usuario;Trabajo solicitado por usuario;;36 entre RP15 y 175 (Berisso);3542672,...;310169T1S1 [310169] [31303] / 09655 [096 DIQUE];Solicitud Usuario;NIS 3542672;Usuario solicita corte programado. El motivo: Un trabajo de albañilería cerca de la torre de alta tensión;Normal;Comercial;guido yannibelli;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
VIERNES;2023-02-10;09:00:00;17:00:00;;385;PI-2023-00470;;Permiso de trabajo en MT;Mantenimiento Correctivo;12 HASTA 17 Y DESDE 490 HASTA 495;489 entre 15 y 14 Bis (Manuel B. Gonnet);170978 15y492;09910 [099 CITY BELL];Plan de Mantenimiento;I0021450;CAMBIO DE 5 POSTES DE MADERA POR COLUMNAS;Normal;Redes Aéreas;gabriel martins;;;;;;;;;;;;abierta, en definición (nueva);Circuito de aprobación normal;
VIERNES;2023-02-10;12:00:00;14:00:00;;386;PI-2023-00406;;Corte solicitado por usuario;Trabajo solicitado por usuario;;Diagonal 618 entre 81 y Diagonal 681 Bis (Villa Elvira);3295892;171107T1S1 [171107] / 19917 [199 ESTE];Solicitud Usuario;NIS 3295892;Usuario NIS 3295892 solicita corte programado para cambio de de cables de medidor ;Normal;Comercial;guido yannibelli;;;;;;;;;;;;abierta, en definición (rechazada);Circuito de aprobación normal;
VIERNES;2023-02-10;13:00:00;15:00:00;;387;PI-2023-00539;;Permiso de trabajo en AT;Mantenimiento Correctivo;;Cno. Belgrano y 528;098-B-IN-598;;Plan de Mantenimiento;semana 6-2023;INT. 132KV L.598 TOLOSA (098);Normal;Transmisión;Jose Molteni;;;;;;;;;;;;abierta, en definición (rechazada);Fuera de plazo;
VIERNES;2023-02-10;14:00:00;17:00:00;OP-Guardia AT La Plata;388;PI-2023-00478;982090;Trabajo en proximidad de instalaciones energizadas;Mantenimiento Preventivo;;465 entre RP1 y 23 (City Bell);099-TR1;;Plan de Mantenimiento;Semana 6;SE City Bell TR N°1: cambio guardamotores. ;Cancelada;Transmisión;victor faes;City Bell;0;;;;04:00:00;;;;;;cerrada, cancelada (Condiciones Climáticas Adversas);Circuito de aprobación normal;
